year,month,day,thefts,temp
2013,6,23,342,77.0
2013,6,24,378,78.0
2013,6,25,392,76.0
2013,6,26,410,73.0
2013,6,27,404,77.0
2013,6,28,442,75.0
2013,6,29,418,68.0
2013,6,30,434,70.0
2013,7,1,568,67.0
2013,7,2,442,64.0
2013,7,3,464,66.0
2013,7,4,390,70.0
2013,7,5,390,73.0
2013,7,6,450,74.0
2013,7,7,408,79.0
2013,7,8,442,78.0
2013,7,9,490,79.0
2013,7,10,422,76.0
2013,7,11,454,73.0
2013,7,12,468,71.0
2013,7,13,456,73.0
2013,7,14,462,80.0
2013,7,15,522,80.0
2013,7,16,410,83.0
2013,7,17,482,85.0
2013,7,18,452,86.0
2013,7,19,474,84.0
2013,7,20,436,80.0
2013,7,21,490,78.0
2013,7,22,544,79.0
2013,7,23,482,71.0
2013,7,24,484,66.0
2013,7,25,468,69.0
2013,7,26,490,66.0
2013,7,27,438,60.0
2013,7,28,382,62.0
2013,7,29,480,67.0
2013,7,30,458,66.0
2013,7,31,436,69.0
2013,8,1,506,71.0
2013,8,2,512,73.0
2013,8,3,536,73.0
2013,8,4,456,68.0
2013,8,5,418,67.0
2013,8,6,418,75.0
2013,8,7,462,78.0
2013,8,8,422,72.0
2013,8,9,458,71.0
2013,8,10,514,73.0
2013,8,11,362,71.0
2013,8,12,520,75.0
2013,8,13,532,64.0
2013,8,14,530,64.0
2013,8,15,474,65.0
2013,8,16,480,69.0
2013,8,17,510,69.0
2013,8,18,414,70.0
2013,8,19,468,71.0
2013,8,20,460,77.0
2013,8,21,432,79.0
2013,8,22,404,73.0
2013,8,23,442,72.0
2013,8,24,480,73.0
2013,8,25,458,77.0
2013,8,26,448,81.0
2013,8,27,422,87.0
2013,8,28,438,77.0
2013,8,29,430,78.0
2013,8,30,505,82.0
2013,8,31,446,75.0
2013,9,1,500,75.0
2013,9,2,456,70.0
2013,9,3,451,67.0
2013,9,4,392,72.0
2013,9,5,472,67.0
2013,9,6,444,72.0
2013,9,7,472,77.0
2013,9,8,354,74.0
2013,9,9,426,81.0
2013,9,10,408,86.0
2013,9,11,374,83.0
2013,9,12,418,72.0
2013,9,13,466,60.0
2013,9,14,444,60.0
2013,9,15,388,59.0
2013,9,16,398,58.0
2013,9,17,464,60.0
2013,9,18,494,71.0
2013,9,19,400,77.0
2013,9,20,515,67.0
2013,9,21,410,60.0
2013,9,22,334,58.0
2013,9,23,495,57.0
2013,9,24,446,60.0
2013,9,25,434,61.0
2013,9,26,438,63.0
2013,9,27,488,67.0
2013,9,28,446,70.0
2013,9,29,408,60.0
2013,9,30,424,61.0
2013,10,1,538,71.0
2013,10,2,410,69.0
2013,10,3,446,69.0
2013,10,4,406,70.0
2013,10,5,376,71.0
2013,10,6,334,55.0
2013,10,7,372,57.0
2013,10,8,382,59.0
2013,10,9,432,60.0
2013,10,10,474,60.0
2013,10,11,442,64.0
2013,10,12,434,60.0
2013,10,13,368,54.0
2013,10,14,386,52.0
2013,10,15,384,57.0
2013,10,16,366,51.0
2013,10,17,388,47.0
2013,10,18,468,45.0
2013,10,19,366,48.0
2013,10,20,355,49.0
2013,10,21,376,44.0
2013,10,22,342,36.0
2013,10,23,404,39.0
2013,10,24,364,38.0
2013,10,25,476,40.0
2013,10,26,410,46.0
2013,10,27,306,42.0
2013,10,28,398,44.0
2013,10,29,390,50.0
2013,10,30,410,53.0
2013,10,31,406,55.0
2013,11,1,472,46.0
2013,11,2,322,43.0
2013,11,3,374,43.0
2013,11,4,392,50.0
2013,11,5,442,53.0
2013,11,6,402,46.0
2013,11,7,402,37.0
2013,11,8,442,38.0
2013,11,9,388,50.0
2013,11,10,316,42.0
2013,11,11,336,36.0
2013,11,12,361,28.0
2013,11,13,442,30.0
2013,11,14,328,41.0
2013,11,15,522,44.0
2013,11,16,408,52.0
2013,11,17,324,56.0
2013,11,18,458,37.0
2013,11,19,414,34.0
2013,11,20,419,37.0
2013,11,21,466,46.0
2013,11,22,451,35.0
2013,11,23,298,27.0
2013,11,24,308,19.0
2013,11,25,350,27.0
2013,11,26,444,26.0
2013,11,27,402,21.0
2013,11,28,216,27.0
2013,11,29,404,26.0
2013,11,30,308,40.0
2013,12,1,414,36.0
2013,12,2,382,37.0
2013,12,3,414,44.0
2013,12,4,414,48.0
2013,12,5,422,30.0
2013,12,6,352,17.0
2013,12,7,324,15.0
2013,12,8,290,21.0
2013,12,9,356,13.0
2013,12,10,322,8.0
2013,12,11,312,11.0
2013,12,12,329,8.0
2013,12,13,408,23.0
2013,12,14,304,27.0
2013,12,15,257,16.0
2013,12,16,342,14.0
2013,12,17,354,25.0
2013,12,18,354,25.0
2013,12,19,366,36.0
2013,12,20,443,35.0
2013,12,21,418,33.0
2013,12,22,356,29.0
2013,12,23,372,13.0
2013,12,24,330,8.0
2013,12,25,124,23.0
2013,12,26,290,24.0
2013,12,27,378,31.0
2013,12,28,330,42.0
2013,12,29,292,26.0
2013,12,30,296,16.5
2013,12,31,8,7.0
